Row Labels,Sum of YMuseveni,Sum of KyagulanyiSsentamuRobert,Sum of AmuriatOboiPatrick,Sum of MugishaMuntuGregg,Sum of KabuletaKiizaJoseph,Sum of KalembeNancyLinda,Sum of MwesigyeFred,Sum of MayambalaWilly,Sum of TumukundeHenryKakurugu,Sum of KatumbaJohn,Sum of Registered_Voters,Sum of Invalid_Ballots,Sum of Valid_Ballots,Sum of Total_Ballots
ABIM,18254,3956,433,63,71,66,41,35,95,179,36539,875,23588,24463
ADJUMANI,35125,7866,1179,264,710,325,183,81,265,198,79364,2540,46421,48961
AGAGO,47696,10559,1595,407,337,299,356,243,433,202,98354,2572,63961,66533
ALEBTONG,42832,16794,1920,634,604,425,389,419,860,297,115804,3207,65620,68827
AMOLATAR,38619,7185,3349,310,218,240,289,134,466,260,71173,1908,51276,53184
AMUDAT,30451,625,47,10,4,6,20,4,27,6,43647,246,31207,31453
AMURIA,34666,3380,16637,278,319,214,219,108,385,115,88722,2216,56536,58752
AMURU,18742,7466,3825,492,476,267,321,381,476,238,87122,3103,35018,38121
APAC,31908,16485,1483,326,277,263,300,117,537,246,88834,3161,52252,55413
ARUA,88108,53179,2942,2163,1465,1213,888,479,1909,1424,330922,11405,155487,166892
BUDAKA,33261,27281,825,193,307,357,326,184,258,181,100900,0,63330,63330
BUDUDA,29224,14666,421,87,83,85,81,31,318,62,73039,1432,45115,46547
BUGIRI,45980,49475,1836,328,256,417,226,134,392,267,193053,5285,99590,104875
BUGWERI,16038,272,15,2,3,3,8,6,38,3,21367,536,16395,16931
BUHWEJU,41423,3602,993,490,159,123,94,34,293,325,66649,1273,47619,48892
BUIKWE,40900,81852,1039,259,219,314,152,68,206,382,235640,5430,125779,131209
BUKEDEA,37590,4980,14331,227,389,64,246,46,459,126,99828,3148,58576,61724
BUKOMANSIMBI,13649,32155,118,52,30,42,34,18,88,92,79349,1207,46384,47591
BUKWO,27888,3032,451,80,73,80,52,72,93,43,44126,975,31920,32895
BULAMBULI,38972,10788,700,57,65,132,87,16,104,43,71664,1539,51021,52560
BULIISA,19316,6152,355,104,194,86,80,17,187,50,44869,1696,26630,28326
